Sample,Predicted Label,Probability for Basic,Probability for Deluxe,Probability for King,Probability for Standard,Probability for Super Deluxe
557,Standard,0.02,0.17,0.03,0.78,0.0
558,Standard,0.02,0.17,0.03,0.78,0.0
559,Standard,0.02,0.17,0.03,0.78,0.0
560,King,0.01,0.08,0.64,0.27,0.0
561,King,0.01,0.08,0.64,0.27,0.0
562,King,0.01,0.08,0.64,0.27,0.0
563,Standard,0.02,0.17,0.03,0.78,0.0
564,Standard,0.02,0.17,0.03,0.78,0.0
565,Standard,0.02,0.17,0.03,0.78,0.0
566,Standard,0.02,0.17,0.03,0.78,0.0
567,King,0.01,0.08,0.64,0.27,0.0
568,Standard,0.02,0.17,0.03,0.78,0.0
569,King,0.01,0.08,0.64,0.27,0.0
570,Standard,0.02,0.17,0.03,0.78,0.0
571,King,0.01,0.08,0.64,0.27,0.0
572,King,0.01,0.08,0.64,0.27,0.0
573,Standard,0.02,0.17,0.03,0.78,0.0
574,King,0.01,0.08,0.64,0.27,0.0
575,Standard,0.02,0.17,0.03,0.78,0.0
576,King,0.01,0.08,0.64,0.27,0.0
577,Standard,0.02,0.17,0.03,0.78,0.0
578,King,0.01,0.08,0.64,0.27,0.0
579,King,0.01,0.08,0.64,0.27,0.0
580,Standard,0.02,0.17,0.03,0.78,0.0
581,Standard,0.02,0.17,0.03,0.78,0.0
582,King,0.01,0.08,0.64,0.27,0.0
583,Standard,0.02,0.17,0.03,0.78,0.0
584,King,0.01,0.08,0.64,0.27,0.0
585,King,0.01,0.08,0.64,0.27,0.0
586,King,0.01,0.08,0.64,0.27,0.0
587,Standard,0.02,0.17,0.03,0.78,0.0
588,King,0.01,0.08,0.64,0.27,0.0
589,Deluxe,0.09,0.69,0.02,0.2,0.0
590,Deluxe,0.09,0.69,0.02,0.2,0.0
591,King,0.01,0.08,0.64,0.27,0.0
592,King,0.01,0.08,0.64,0.27,0.0
593,King,0.01,0.08,0.64,0.27,0.0
594,King,0.01,0.08,0.64,0.27,0.0
595,King,0.01,0.08,0.64,0.27,0.0
596,King,0.01,0.08,0.64,0.27,0.0
597,Deluxe,0.09,0.69,0.02,0.2,0.0
598,Standard,0.02,0.17,0.03,0.78,0.0
599,Standard,0.02,0.17,0.03,0.78,0.0
600,Deluxe,0.09,0.69,0.02,0.2,0.0
601,King,0.01,0.08,0.64,0.27,0.0
602,King,0.01,0.08,0.64,0.27,0.0
603,Standard,0.02,0.17,0.03,0.78,0.0
604,King,0.01,0.08,0.64,0.27,0.0
605,King,0.01,0.08,0.64,0.27,0.0
606,Deluxe,0.09,0.69,0.02,0.2,0.0
607,Standard,0.02,0.17,0.03,0.78,0.0
608,King,0.01,0.08,0.64,0.27,0.0
609,King,0.01,0.08,0.64,0.27,0.0
610,King,0.01,0.08,0.64,0.27,0.0
611,Standard,0.02,0.17,0.03,0.78,0.0
612,King,0.01,0.08,0.64,0.27,0.0
613,King,0.01,0.08,0.64,0.27,0.0
614,King,0.01,0.08,0.64,0.27,0.0
615,King,0.01,0.08,0.64,0.27,0.0
616,Standard,0.02,0.17,0.03,0.78,0.0
617,King,0.01,0.08,0.64,0.27,0.0
618,King,0.01,0.08,0.64,0.27,0.0
619,King,0.01,0.08,0.64,0.27,0.0
620,Deluxe,0.09,0.69,0.02,0.2,0.0
621,King,0.01,0.08,0.64,0.27,0.0
622,Standard,0.02,0.17,0.03,0.78,0.0
623,King,0.01,0.08,0.64,0.27,0.0
624,Standard,0.02,0.17,0.03,0.78,0.0
625,Deluxe,0.09,0.69,0.02,0.2,0.0
626,King,0.01,0.08,0.64,0.27,0.0
627,King,0.01,0.08,0.64,0.27,0.0
628,King,0.01,0.08,0.64,0.27,0.0
629,Deluxe,0.09,0.69,0.02,0.2,0.0
630,King,0.01,0.08,0.64,0.27,0.0
631,King,0.01,0.08,0.64,0.27,0.0
632,Standard,0.02,0.17,0.03,0.78,0.0
633,Deluxe,0.09,0.69,0.02,0.2,0.0
634,Standard,0.02,0.17,0.03,0.78,0.0
635,King,0.01,0.08,0.64,0.27,0.0
636,King,0.01,0.08,0.64,0.27,0.0
637,Standard,0.02,0.17,0.03,0.78,0.0
638,King,0.01,0.08,0.64,0.27,0.0
639,Standard,0.02,0.17,0.03,0.78,0.0
640,Standard,0.02,0.17,0.03,0.78,0.0
641,Standard,0.02,0.17,0.03,0.78,0.0
642,King,0.01,0.08,0.64,0.27,0.0
643,King,0.01,0.08,0.64,0.27,0.0
644,King,0.01,0.08,0.64,0.27,0.0
645,Standard,0.02,0.17,0.03,0.78,0.0
646,King,0.01,0.08,0.64,0.27,0.0
647,King,0.01,0.08,0.64,0.27,0.0
648,Standard,0.02,0.17,0.03,0.78,0.0
649,King,0.01,0.08,0.64,0.27,0.0
650,Deluxe,0.09,0.69,0.02,0.2,0.0
651,King,0.01,0.08,0.64,0.27,0.0
652,King,0.01,0.08,0.64,0.27,0.0
653,Standard,0.02,0.17,0.03,0.78,0.0
654,King,0.01,0.08,0.64,0.27,0.0
655,Standard,0.02,0.17,0.03,0.78,0.0
656,King,0.01,0.08,0.64,0.27,0.0
657,King,0.01,0.08,0.64,0.27,0.0
658,Standard,0.02,0.17,0.03,0.78,0.0
659,King,0.01,0.08,0.64,0.27,0.0
660,King,0.01,0.08,0.64,0.27,0.0
661,King,0.01,0.08,0.64,0.27,0.0
662,Standard,0.02,0.17,0.03,0.78,0.0
663,King,0.01,0.08,0.64,0.27,0.0
664,King,0.01,0.08,0.64,0.27,0.0
665,Deluxe,0.09,0.69,0.02,0.2,0.0
666,King,0.01,0.08,0.64,0.27,0.0
667,Standard,0.02,0.17,0.03,0.78,0.0
668,Deluxe,0.09,0.69,0.02,0.2,0.0
669,King,0.01,0.08,0.64,0.27,0.0
670,King,0.01,0.08,0.64,0.27,0.0
671,King,0.01,0.08,0.64,0.27,0.0
672,Standard,0.02,0.17,0.03,0.78,0.0
673,King,0.01,0.08,0.64,0.27,0.0
674,Deluxe,0.09,0.69,0.02,0.2,0.0
675,King,0.01,0.08,0.64,0.27,0.0
676,King,0.01,0.08,0.64,0.27,0.0
677,King,0.01,0.08,0.64,0.27,0.0
678,Standard,0.02,0.17,0.03,0.78,0.0
679,King,0.01,0.08,0.64,0.27,0.0
680,King,0.01,0.08,0.64,0.27,0.0
681,Standard,0.02,0.17,0.03,0.78,0.0
682,Standard,0.02,0.17,0.03,0.78,0.0
683,King,0.01,0.08,0.64,0.27,0.0
684,Deluxe,0.09,0.69,0.02,0.2,0.0
685,King,0.01,0.08,0.64,0.27,0.0
686,Standard,0.02,0.17,0.03,0.78,0.0
687,King,0.01,0.08,0.64,0.27,0.0
688,King,0.01,0.08,0.64,0.27,0.0
689,Standard,0.02,0.17,0.03,0.78,0.0
690,Standard,0.02,0.17,0.03,0.78,0.0
691,Standard,0.02,0.17,0.03,0.78,0.0
692,King,0.01,0.08,0.64,0.27,0.0
693,Standard,0.02,0.17,0.03,0.78,0.0
694,King,0.01,0.08,0.64,0.27,0.0
695,Standard,0.02,0.17,0.03,0.78,0.0
696,King,0.01,0.08,0.64,0.27,0.0
697,King,0.01,0.08,0.64,0.27,0.0
698,Standard,0.02,0.17,0.03,0.78,0.0
699,Standard,0.02,0.17,0.03,0.78,0.0
700,Standard,0.02,0.17,0.03,0.78,0.0
701,King,0.01,0.08,0.64,0.27,0.0
702,King,0.01,0.08,0.64,0.27,0.0
703,King,0.01,0.08,0.64,0.27,0.0
704,King,0.01,0.08,0.64,0.27,0.0
705,Standard,0.02,0.17,0.03,0.78,0.0
706,Standard,0.02,0.17,0.03,0.78,0.0
707,King,0.01,0.08,0.64,0.27,0.0
708,Standard,0.02,0.17,0.03,0.78,0.0
709,Standard,0.02,0.17,0.03,0.78,0.0
710,Standard,0.02,0.17,0.03,0.78,0.0
711,King,0.01,0.08,0.64,0.27,0.0
712,Standard,0.02,0.17,0.03,0.78,0.0
713,King,0.01,0.08,0.64,0.27,0.0
714,Standard,0.02,0.17,0.03,0.78,0.0
715,Deluxe,0.09,0.69,0.02,0.2,0.0
716,Standard,0.02,0.17,0.03,0.78,0.0
717,Standard,0.02,0.17,0.03,0.78,0.0
718,King,0.01,0.08,0.64,0.27,0.0
719,King,0.01,0.08,0.64,0.27,0.0
720,Deluxe,0.09,0.69,0.02,0.2,0.0
721,Standard,0.02,0.17,0.03,0.78,0.0
722,King,0.01,0.08,0.64,0.27,0.0
723,King,0.01,0.08,0.64,0.27,0.0
724,King,0.01,0.08,0.64,0.27,0.0
725,Standard,0.02,0.17,0.03,0.78,0.0
726,King,0.01,0.08,0.64,0.27,0.0
727,King,0.01,0.08,0.64,0.27,0.0
728,Standard,0.02,0.17,0.03,0.78,0.0
729,King,0.01,0.08,0.64,0.27,0.0
730,King,0.01,0.08,0.64,0.27,0.0
731,King,0.01,0.08,0.64,0.27,0.0
732,Standard,0.02,0.17,0.03,0.78,0.0
733,King,0.01,0.08,0.64,0.27,0.0
734,King,0.01,0.08,0.64,0.27,0.0
735,Standard,0.02,0.17,0.03,0.78,0.0
736,King,0.01,0.08,0.64,0.27,0.0
737,King,0.01,0.08,0.64,0.27,0.0
738,Standard,0.02,0.17,0.03,0.78,0.0
739,King,0.01,0.08,0.64,0.27,0.0
740,King,0.01,0.08,0.64,0.27,0.0
741,Standard,0.02,0.17,0.03,0.78,0.0
742,King,0.01,0.08,0.64,0.27,0.0
743,Standard,0.02,0.17,0.03,0.78,0.0
744,Standard,0.02,0.17,0.03,0.78,0.0
745,Deluxe,0.09,0.69,0.02,0.2,0.0
746,King,0.01,0.08,0.64,0.27,0.0
747,King,0.01,0.08,0.64,0.27,0.0
748,King,0.01,0.08,0.64,0.27,0.0
749,King,0.01,0.08,0.64,0.27,0.0
750,King,0.01,0.08,0.64,0.27,0.0
751,Standard,0.02,0.17,0.03,0.78,0.0
752,Standard,0.02,0.17,0.03,0.78,0.0
753,Standard,0.02,0.17,0.03,0.78,0.0
754,King,0.01,0.08,0.64,0.27,0.0
755,King,0.01,0.08,0.64,0.27,0.0
756,Deluxe,0.09,0.69,0.02,0.2,0.0
757,Standard,0.02,0.17,0.03,0.78,0.0
758,King,0.01,0.08,0.64,0.27,0.0
759,King,0.01,0.08,0.64,0.27,0.0
760,Standard,0.02,0.17,0.03,0.78,0.0
761,Standard,0.02,0.17,0.03,0.78,0.0
762,Standard,0.02,0.17,0.03,0.78,0.0
763,Deluxe,0.09,0.69,0.02,0.2,0.0
764,King,0.01,0.08,0.64,0.27,0.0
765,King,0.01,0.08,0.64,0.27,0.0
766,King,0.01,0.08,0.64,0.27,0.0
767,King,0.01,0.08,0.64,0.27,0.0
768,King,0.01,0.08,0.64,0.27,0.0
769,Standard,0.02,0.17,0.03,0.78,0.0
770,King,0.01,0.08,0.64,0.27,0.0
771,King,0.01,0.08,0.64,0.27,0.0
772,Standard,0.02,0.17,0.03,0.78,0.0
773,King,0.01,0.08,0.64,0.27,0.0
774,King,0.01,0.08,0.64,0.27,0.0
775,King,0.01,0.08,0.64,0.27,0.0
776,Standard,0.02,0.17,0.03,0.78,0.0
777,Standard,0.02,0.17,0.03,0.78,0.0
778,King,0.01,0.08,0.64,0.27,0.0
779,Standard,0.02,0.17,0.03,0.78,0.0
780,Standard,0.02,0.17,0.03,0.78,0.0
781,King,0.01,0.08,0.64,0.27,0.0
782,King,0.01,0.08,0.64,0.27,0.0
783,Deluxe,0.09,0.69,0.02,0.2,0.0
784,Standard,0.02,0.17,0.03,0.78,0.0
785,King,0.01,0.08,0.64,0.27,0.0
786,King,0.01,0.08,0.64,0.27,0.0
787,Standard,0.02,0.17,0.03,0.78,0.0
788,King,0.01,0.08,0.64,0.27,0.0
789,Deluxe,0.09,0.69,0.02,0.2,0.0
790,King,0.01,0.08,0.64,0.27,0.0
791,King,0.01,0.08,0.64,0.27,0.0
792,King,0.01,0.08,0.64,0.27,0.0
793,King,0.01,0.08,0.64,0.27,0.0
794,Deluxe,0.09,0.69,0.02,0.2,0.0
795,King,0.01,0.08,0.64,0.27,0.0
796,King,0.01,0.08,0.64,0.27,0.0
797,Standard,0.02,0.17,0.03,0.78,0.0
798,King,0.01,0.08,0.64,0.27,0.0
799,King,0.01,0.08,0.64,0.27,0.0
800,King,0.01,0.08,0.64,0.27,0.0
801,King,0.01,0.08,0.64,0.27,0.0
802,Deluxe,0.09,0.69,0.02,0.2,0.0
803,King,0.01,0.08,0.64,0.27,0.0
804,King,0.01,0.08,0.64,0.27,0.0
805,Standard,0.02,0.17,0.03,0.78,0.0
806,Standard,0.02,0.17,0.03,0.78,0.0
807,King,0.01,0.08,0.64,0.27,0.0
808,King,0.01,0.08,0.64,0.27,0.0
809,Standard,0.02,0.17,0.03,0.78,0.0
810,Deluxe,0.09,0.69,0.02,0.2,0.0
811,Standard,0.02,0.17,0.03,0.78,0.0
812,King,0.01,0.08,0.64,0.27,0.0
813,King,0.01,0.08,0.64,0.27,0.0
814,Deluxe,0.09,0.69,0.02,0.2,0.0
815,Standard,0.02,0.17,0.03,0.78,0.0
816,King,0.01,0.08,0.64,0.27,0.0
817,King,0.01,0.08,0.64,0.27,0.0
818,Standard,0.02,0.17,0.03,0.78,0.0
819,King,0.01,0.08,0.64,0.27,0.0
820,King,0.01,0.08,0.64,0.27,0.0
821,King,0.01,0.08,0.64,0.27,0.0
822,King,0.01,0.08,0.64,0.27,0.0
823,King,0.01,0.08,0.64,0.27,0.0
824,Standard,0.02,0.17,0.03,0.78,0.0
825,King,0.01,0.08,0.64,0.27,0.0
826,King,0.01,0.08,0.64,0.27,0.0
827,King,0.01,0.08,0.64,0.27,0.0
828,King,0.01,0.08,0.64,0.27,0.0
829,Deluxe,0.09,0.69,0.02,0.2,0.0
830,King,0.01,0.08,0.64,0.27,0.0
831,King,0.01,0.08,0.64,0.27,0.0
832,Standard,0.02,0.17,0.03,0.78,0.0
833,Deluxe,0.09,0.69,0.02,0.2,0.0
834,Standard,0.02,0.17,0.03,0.78,0.0
835,Standard,0.02,0.17,0.03,0.78,0.0
836,King,0.01,0.08,0.64,0.27,0.0
837,Standard,0.02,0.17,0.03,0.78,0.0
838,Standard,0.02,0.17,0.03,0.78,0.0
839,King,0.01,0.08,0.64,0.27,0.0
840,Deluxe,0.09,0.69,0.02,0.2,0.0
841,King,0.01,0.08,0.64,0.27,0.0
842,Deluxe,0.09,0.69,0.02,0.2,0.0
843,King,0.01,0.08,0.64,0.27,0.0
844,King,0.01,0.08,0.64,0.27,0.0
845,Deluxe,0.09,0.69,0.02,0.2,0.0
846,Standard,0.02,0.17,0.03,0.78,0.0
847,Standard,0.02,0.17,0.03,0.78,0.0
848,King,0.01,0.08,0.64,0.27,0.0
849,King,0.01,0.08,0.64,0.27,0.0
850,Standard,0.02,0.17,0.03,0.78,0.0
851,Standard,0.02,0.17,0.03,0.78,0.0
852,Standard,0.02,0.17,0.03,0.78,0.0
853,Deluxe,0.09,0.69,0.02,0.2,0.0
854,King,0.01,0.08,0.64,0.27,0.0
855,King,0.01,0.08,0.64,0.27,0.0
856,Standard,0.02,0.17,0.03,0.78,0.0
857,Standard,0.02,0.17,0.03,0.78,0.0
858,King,0.01,0.08,0.64,0.27,0.0
859,King,0.01,0.08,0.64,0.27,0.0
860,King,0.01,0.08,0.64,0.27,0.0
861,Standard,0.02,0.17,0.03,0.78,0.0
862,King,0.01,0.08,0.64,0.27,0.0
863,King,0.01,0.08,0.64,0.27,0.0
864,King,0.01,0.08,0.64,0.27,0.0
865,King,0.01,0.08,0.64,0.27,0.0
866,Standard,0.02,0.17,0.03,0.78,0.0
867,Deluxe,0.09,0.69,0.02,0.2,0.0
868,King,0.01,0.08,0.64,0.27,0.0
869,Standard,0.02,0.17,0.03,0.78,0.0
870,Standard,0.02,0.17,0.03,0.78,0.0
871,King,0.01,0.08,0.64,0.27,0.0
872,King,0.01,0.08,0.64,0.27,0.0
873,King,0.01,0.08,0.64,0.27,0.0
874,Standard,0.02,0.17,0.03,0.78,0.0
875,King,0.01,0.08,0.64,0.27,0.0
876,Standard,0.02,0.17,0.03,0.78,0.0
877,King,0.01,0.08,0.64,0.27,0.0
878,King,0.01,0.08,0.64,0.27,0.0
879,Deluxe,0.09,0.69,0.02,0.2,0.0
880,Standard,0.02,0.17,0.03,0.78,0.0
881,Standard,0.02,0.17,0.03,0.78,0.0
882,King,0.01,0.08,0.64,0.27,0.0
883,King,0.01,0.08,0.64,0.27,0.0
884,Standard,0.02,0.17,0.03,0.78,0.0
885,King,0.01,0.08,0.64,0.27,0.0
886,Standard,0.02,0.17,0.03,0.78,0.0
887,King,0.01,0.08,0.64,0.27,0.0
888,Standard,0.02,0.17,0.03,0.78,0.0
889,King,0.01,0.08,0.64,0.27,0.0
890,King,0.01,0.08,0.64,0.27,0.0
891,Standard,0.02,0.17,0.03,0.78,0.0
892,King,0.01,0.08,0.64,0.27,0.0
893,King,0.01,0.08,0.64,0.27,0.0
894,King,0.01,0.08,0.64,0.27,0.0
895,Deluxe,0.09,0.69,0.02,0.2,0.0
896,Deluxe,0.09,0.69,0.02,0.2,0.0
897,King,0.01,0.08,0.64,0.27,0.0
898,Deluxe,0.09,0.69,0.02,0.2,0.0
899,King,0.01,0.08,0.64,0.27,0.0
900,King,0.01,0.08,0.64,0.27,0.0
901,King,0.01,0.08,0.64,0.27,0.0
902,Deluxe,0.09,0.69,0.02,0.2,0.0
903,Standard,0.02,0.17,0.03,0.78,0.0
904,Standard,0.02,0.17,0.03,0.78,0.0
905,King,0.01,0.08,0.64,0.27,0.0
906,King,0.01,0.08,0.64,0.27,0.0
907,King,0.01,0.08,0.64,0.27,0.0
908,Standard,0.02,0.17,0.03,0.78,0.0
909,King,0.01,0.08,0.64,0.27,0.0
910,King,0.01,0.08,0.64,0.27,0.0
911,King,0.01,0.08,0.64,0.27,0.0
912,Deluxe,0.09,0.69,0.02,0.2,0.0
913,Standard,0.02,0.17,0.03,0.78,0.0
914,King,0.01,0.08,0.64,0.27,0.0
915,King,0.01,0.08,0.64,0.27,0.0
916,Standard,0.02,0.17,0.03,0.78,0.0
917,King,0.01,0.08,0.64,0.27,0.0
918,Standard,0.02,0.17,0.03,0.78,0.0
919,King,0.01,0.08,0.64,0.27,0.0
920,Standard,0.02,0.17,0.03,0.78,0.0
921,King,0.01,0.08,0.64,0.27,0.0
922,King,0.01,0.08,0.64,0.27,0.0
923,Standard,0.02,0.17,0.03,0.78,0.0
924,King,0.01,0.08,0.64,0.27,0.0
925,King,0.01,0.08,0.64,0.27,0.0
926,Standard,0.02,0.17,0.03,0.78,0.0
927,Standard,0.02,0.17,0.03,0.78,0.0
928,King,0.01,0.08,0.64,0.27,0.0
929,King,0.01,0.08,0.64,0.27,0.0
930,Standard,0.02,0.17,0.03,0.78,0.0
931,King,0.01,0.08,0.64,0.27,0.0
932,King,0.01,0.08,0.64,0.27,0.0
933,King,0.01,0.08,0.64,0.27,0.0
934,Standard,0.02,0.17,0.03,0.78,0.0
935,King,0.01,0.08,0.64,0.27,0.0
936,King,0.01,0.08,0.64,0.27,0.0
937,King,0.01,0.08,0.64,0.27,0.0
938,King,0.01,0.08,0.64,0.27,0.0
939,Standard,0.02,0.17,0.03,0.78,0.0
940,King,0.01,0.08,0.64,0.27,0.0
941,King,0.01,0.08,0.64,0.27,0.0
942,King,0.01,0.08,0.64,0.27,0.0
943,King,0.01,0.08,0.64,0.27,0.0
944,King,0.01,0.08,0.64,0.27,0.0
945,Standard,0.02,0.17,0.03,0.78,0.0
946,Standard,0.02,0.17,0.03,0.78,0.0
947,Deluxe,0.09,0.69,0.02,0.2,0.0
948,Standard,0.02,0.17,0.03,0.78,0.0
949,Deluxe,0.09,0.69,0.02,0.2,0.0
950,Standard,0.02,0.17,0.03,0.78,0.0
951,King,0.01,0.08,0.64,0.27,0.0
952,Standard,0.02,0.17,0.03,0.78,0.0
953,King,0.01,0.08,0.64,0.27,0.0
954,King,0.01,0.08,0.64,0.27,0.0
955,King,0.01,0.08,0.64,0.27,0.0
956,King,0.01,0.08,0.64,0.27,0.0
957,King,0.01,0.08,0.64,0.27,0.0
958,Standard,0.02,0.17,0.03,0.78,0.0
959,King,0.01,0.08,0.64,0.27,0.0
960,Standard,0.02,0.17,0.03,0.78,0.0
961,King,0.01,0.08,0.64,0.27,0.0
962,King,0.01,0.08,0.64,0.27,0.0
963,Standard,0.02,0.17,0.03,0.78,0.0
964,King,0.01,0.08,0.64,0.27,0.0
965,King,0.01,0.08,0.64,0.27,0.0
966,King,0.01,0.08,0.64,0.27,0.0
967,King,0.01,0.08,0.64,0.27,0.0
968,King,0.01,0.08,0.64,0.27,0.0
969,King,0.01,0.08,0.64,0.27,0.0
970,King,0.01,0.08,0.64,0.27,0.0
971,King,0.01,0.08,0.64,0.27,0.0
972,Standard,0.02,0.17,0.03,0.78,0.0
973,King,0.01,0.08,0.64,0.27,0.0
974,King,0.01,0.08,0.64,0.27,0.0
975,Deluxe,0.09,0.69,0.02,0.2,0.0
976,Standard,0.02,0.17,0.03,0.78,0.0
977,Standard,0.02,0.17,0.03,0.78,0.0
978,Standard,0.02,0.17,0.03,0.78,0.0
979,King,0.01,0.08,0.64,0.27,0.0
980,King,0.01,0.08,0.64,0.27,0.0
981,King,0.01,0.08,0.64,0.27,0.0
982,King,0.01,0.08,0.64,0.27,0.0
983,Deluxe,0.09,0.69,0.02,0.2,0.0
984,King,0.01,0.08,0.64,0.27,0.0
985,Standard,0.02,0.17,0.03,0.78,0.0
986,King,0.01,0.08,0.64,0.27,0.0
987,Standard,0.02,0.17,0.03,0.78,0.0
988,Deluxe,0.09,0.69,0.02,0.2,0.0
989,King,0.01,0.08,0.64,0.27,0.0
990,King,0.01,0.08,0.64,0.27,0.0
991,Deluxe,0.09,0.69,0.02,0.2,0.0
992,Deluxe,0.09,0.69,0.02,0.2,0.0
993,King,0.01,0.08,0.64,0.27,0.0
994,King,0.01,0.08,0.64,0.27,0.0
995,King,0.01,0.08,0.64,0.27,0.0
996,King,0.01,0.08,0.64,0.27,0.0
997,King,0.01,0.08,0.64,0.27,0.0
998,Standard,0.02,0.17,0.03,0.78,0.0
999,Standard,0.02,0.17,0.03,0.78,0.0
1000,Deluxe,0.09,0.69,0.02,0.2,0.0
1001,Deluxe,0.09,0.69,0.02,0.2,0.0
1002,King,0.01,0.08,0.64,0.27,0.0
1003,Standard,0.02,0.17,0.03,0.78,0.0
1004,King,0.01,0.08,0.64,0.27,0.0
1005,King,0.01,0.08,0.64,0.27,0.0
1006,Standard,0.02,0.17,0.03,0.78,0.0
1007,Standard,0.02,0.17,0.03,0.78,0.0
1008,King,0.01,0.08,0.64,0.27,0.0
1009,Standard,0.02,0.17,0.03,0.78,0.0
1010,Standard,0.02,0.17,0.03,0.78,0.0
1011,King,0.01,0.08,0.64,0.27,0.0
1012,King,0.01,0.08,0.64,0.27,0.0
1013,Standard,0.02,0.17,0.03,0.78,0.0
1014,King,0.01,0.08,0.64,0.27,0.0
1015,Standard,0.02,0.17,0.03,0.78,0.0
1016,King,0.01,0.08,0.64,0.27,0.0
1017,Standard,0.02,0.17,0.03,0.78,0.0
1018,King,0.01,0.08,0.64,0.27,0.0
1019,Standard,0.02,0.17,0.03,0.78,0.0
1020,King,0.01,0.08,0.64,0.27,0.0
1021,Standard,0.02,0.17,0.03,0.78,0.0
1022,King,0.01,0.08,0.64,0.27,0.0
1023,King,0.01,0.08,0.64,0.27,0.0
1024,Standard,0.02,0.17,0.03,0.78,0.0
1025,Deluxe,0.09,0.69,0.02,0.2,0.0
1026,Standard,0.02,0.17,0.03,0.78,0.0
1027,Standard,0.02,0.17,0.03,0.78,0.0
1028,King,0.01,0.08,0.64,0.27,0.0
1029,King,0.01,0.08,0.64,0.27,0.0
1030,Standard,0.02,0.17,0.03,0.78,0.0
1031,King,0.01,0.08,0.64,0.27,0.0
1032,King,0.01,0.08,0.64,0.27,0.0
1033,Standard,0.02,0.17,0.03,0.78,0.0
1034,King,0.01,0.08,0.64,0.27,0.0
1035,King,0.01,0.08,0.64,0.27,0.0
1036,Standard,0.02,0.17,0.03,0.78,0.0
1037,King,0.01,0.08,0.64,0.27,0.0
1038,King,0.01,0.08,0.64,0.27,0.0
1039,King,0.01,0.08,0.64,0.27,0.0
1040,King,0.01,0.08,0.64,0.27,0.0
1041,King,0.01,0.08,0.64,0.27,0.0
1042,Standard,0.02,0.17,0.03,0.78,0.0
1043,Standard,0.02,0.17,0.03,0.78,0.0
1044,King,0.01,0.08,0.64,0.27,0.0
1045,Standard,0.02,0.17,0.03,0.78,0.0
1046,King,0.01,0.08,0.64,0.27,0.0
1047,King,0.01,0.08,0.64,0.27,0.0
1048,Standard,0.02,0.17,0.03,0.78,0.0
1049,King,0.01,0.08,0.64,0.27,0.0
1050,King,0.01,0.08,0.64,0.27,0.0
1051,Standard,0.02,0.17,0.03,0.78,0.0
1052,Standard,0.02,0.17,0.03,0.78,0.0
1053,King,0.01,0.08,0.64,0.27,0.0
1054,Standard,0.02,0.17,0.03,0.78,0.0
1055,King,0.01,0.08,0.64,0.27,0.0
1056,Standard,0.02,0.17,0.03,0.78,0.0
1057,King,0.01,0.08,0.64,0.27,0.0
1058,King,0.01,0.08,0.64,0.27,0.0
1059,Standard,0.02,0.17,0.03,0.78,0.0
1060,King,0.01,0.08,0.64,0.27,0.0
1061,Deluxe,0.09,0.69,0.02,0.2,0.0
1062,Standard,0.02,0.17,0.03,0.78,0.0
1063,King,0.01,0.08,0.64,0.27,0.0
1064,Standard,0.02,0.17,0.03,0.78,0.0
1065,King,0.01,0.08,0.64,0.27,0.0
1066,King,0.01,0.08,0.64,0.27,0.0
1067,King,0.01,0.08,0.64,0.27,0.0
1068,King,0.01,0.08,0.64,0.27,0.0
1069,King,0.01,0.08,0.64,0.27,0.0
1070,King,0.01,0.08,0.64,0.27,0.0
1071,Standard,0.02,0.17,0.03,0.78,0.0
1072,Standard,0.02,0.17,0.03,0.78,0.0
1073,King,0.01,0.08,0.64,0.27,0.0
1074,King,0.01,0.08,0.64,0.27,0.0
1075,Standard,0.02,0.17,0.03,0.78,0.0
1076,King,0.01,0.08,0.64,0.27,0.0
1077,King,0.01,0.08,0.64,0.27,0.0
1078,Standard,0.02,0.17,0.03,0.78,0.0
1079,King,0.01,0.08,0.64,0.27,0.0
1080,Standard,0.02,0.17,0.03,0.78,0.0
1081,King,0.01,0.08,0.64,0.27,0.0
1082,King,0.01,0.08,0.64,0.27,0.0
1083,King,0.01,0.08,0.64,0.27,0.0
1084,King,0.01,0.08,0.64,0.27,0.0
1085,King,0.01,0.08,0.64,0.27,0.0
1086,Deluxe,0.09,0.69,0.02,0.2,0.0
1087,Standard,0.02,0.17,0.03,0.78,0.0
1088,King,0.01,0.08,0.64,0.27,0.0
1089,King,0.01,0.08,0.64,0.27,0.0
1090,King,0.01,0.08,0.64,0.27,0.0
1091,King,0.01,0.08,0.64,0.27,0.0
1092,Standard,0.02,0.17,0.03,0.78,0.0
1093,King,0.01,0.08,0.64,0.27,0.0
1094,King,0.01,0.08,0.64,0.27,0.0
1095,Deluxe,0.09,0.69,0.02,0.2,0.0
1096,Standard,0.02,0.17,0.03,0.78,0.0
1097,King,0.01,0.08,0.64,0.27,0.0
1098,King,0.01,0.08,0.64,0.27,0.0
1099,King,0.01,0.08,0.64,0.27,0.0
1100,Standard,0.02,0.17,0.03,0.78,0.0
1101,Standard,0.02,0.17,0.03,0.78,0.0
1102,King,0.01,0.08,0.64,0.27,0.0
1103,Standard,0.02,0.17,0.03,0.78,0.0
1104,Standard,0.02,0.17,0.03,0.78,0.0
1105,King,0.01,0.08,0.64,0.27,0.0
1106,Standard,0.02,0.17,0.03,0.78,0.0
1107,King,0.01,0.08,0.64,0.27,0.0
1108,Standard,0.02,0.17,0.03,0.78,0.0
